No.,ship code,Month,Jyun,START,END,Latitude,Longitude,Dec Lat,Dec Long,Dec Long Corerct,E=1.W=2,SST oC,Jig Mach No,1case kg,5,8,13,18,23,28,33,38,45,55,65,75,85,95,105,Ashi,Fin,Nankotsu,Kizu,IQF,Tomogui,Mantle Case No,Total case No,Weight kg,Sqiid No,mean BW g,Op hrs,CPUE(squidN/hr/JNo),Raw C kg,CPUE(kg/hr/JNo),CPUE(squidN/JNo),CPUE(kg/JNo),note,,,Fishing year     冬春生まれ群,year,CPUE (Catch No/hr/Jig No),SD,n,,Raw Ckg=Catch kg/ boat,SD,n,,CPUE (catch kg/hr/Jig No),SD,n,,CPUE (catch No/Jig No),SD,n,,CPUE (Catch kg/Jig No),SD,n
55喜代丸,,,,2006/1/9 16:30,2006/1/10 6:30,37°49′N,142°15′E,37.82,142.25,142.25,1,12.6,25,12,,,21,20,15,10,3,,,,,,,,,31,15,11,,,,69,126,1512,1357,1114,14,3.88,1708.5,4.88,54.3,68.3,,,,,,,,,,,,,,,,,,,,,,,,
35喜久丸,,,,2006/1/9 16:30,2006/1/10 6:30,37°30′N,142°19′E,37.5,142.32,142.32,1,12.6,25,12.2,,,42,112,73,31,13,,,,,,,,,125,60,28,,,,271,484,5905,5538,1066,14,15.82,6672.1,19.77,221.5,266.9,,,,,,,,,,,,,,,,,,,,,,,,
10宝幸丸,,,,2006/1/9 17:00,2006/1/10 6:00,37°52′N,142°05′E,37.87,142.08,142.08,1,12.2,24,12,,,7,30,15,11,5,,,,,,,,,,34,17,,,,68,119,1428,1449,986,13,4.65,1613.6,5.17,60.4,67.2,,,,,,,,,,,,,,,,,,,,,,,,
71源栄丸,,,,2006/1/9 17:00,2006/1/10 5:00,37°57′N,142°09′E,37.95,142.15,142.15,1,12.3,24,12,,,37,78,41,13,4,,,,,,,,,78,43,26,,,,173,320,3840,3324,1155,12,11.54,4339,15.07,138.5,180.8,,,,,,,,,,,,,,,,,,,,,,,,
65源栄丸,,,,2006/1/9 17:00,2006/1/10 5:00,37°58′N,142°13′E,37.97,142.22,142.22,1,12.6,24,11.8,,,18,33,25,11,4,,,,,,,,,41,17,16,,,,91,165,1947,1843,1056,12,6.4,2200,7.64,76.8,91.7,,,,,,,,,,,,,,,,,,,,,,,,
11源栄丸,,,,2006/1/9 17:00,2006/1/10 5:00,38°00′N,143°06′E,38,143.1,143.1,1,13.2,21,11.5,,,32,40,41,7,9,,,,,,,,,61,26,23,,,,129,239,2749,2572,1069,12,10.21,3105.6,12.32,122.5,147.9,,,,,,,,,,,,,,,,,,,,,,,,
2吉丸,,,,2006/1/9 17:10,2006/1/10 6:10,37°30′N,142°15′E,37.5,142.25,142.25,1,12.9,24,12.5,,,18,72,51,19,,17,,,,,,,,86,43,40,,,,177,346,4325,3881,1114,13,12.44,4887,15.66,161.7,203.6,,,,,,,,,,,,,,,,,,,,,,,,
15千鳥丸,,,,2006/1/9 17:40,2006/1/10 5:40,38°17′N,142°12′E,38.28,142.2,142.2,1,11.7,25,11.5,,,31,99,49,19,5,,,,,,,,,92,46,21,,,,203,362,4163,4009,1038,12,13.37,4704,15.9,160.4,188.2,,,,,,,,,,,,,,,,,,,,,,,,
30正寿丸,,,,2006/1/9 19:30,2006/1/10 6:30,37°45′N,142°17′E,37.75,142.28,142.28,1,13,25,12.6,,,34,63,44,17,10,,,,,,,,,,72,27,,20,,168,287,3616,3394,1065,11,12.35,4086.1,14.86,135.8,163.4,,,,,,,,,,,,,,,,,,,,,,,,
67源栄丸,,,,2006/1/9 22:00,2006/1/10 6:00,38°18′N,142°34′E,38.3,142.57,142.57,1,13.5,20,12,,,11,19,21,10,1,,,,,,,,,27,13,11,,,,62,113,1356,1281,1059,8,8.01,1532.2,10.21,64.1,76.6,,,,,,,,,,,,,,,,,,,,,,,,
